"time","Volt"
2023-10-11 04:23:32,0.375
2023-10-11 04:28:42,0.5625
2023-10-11 04:33:54,0.5625
2023-10-11 04:39:08,0.5625
2023-10-11 04:44:19,0.5625
2023-10-11 04:49:31,0.5625
2023-10-11 04:54:44,0.5625
2023-10-11 04:59:55,0.5625
2023-10-11 05:05:04,0.5625
2023-10-11 05:10:14,0.5625
2023-10-11 05:15:21,0.5625
2023-10-11 05:20:32,0.5625
2023-10-11 05:25:46,0.5625
2023-10-11 05:30:58,0.5625
2023-10-11 05:36:10,0.375
2023-10-11 05:41:22,0.5625
2023-10-11 05:46:29,0.5625
2023-10-11 05:51:41,0.5625
2023-10-11 05:56:50,0.5625
2023-10-11 06:01:57,0.5625
2023-10-11 06:07:05,0.5625
2023-10-11 06:12:18,0.5625
2023-10-11 06:17:26,0.5625
2023-10-11 06:22:25,0.5625
2023-10-11 06:27:39,0.5625
2023-10-11 06:32:48,0.5625
2023-10-11 06:38:00,0.5625
2023-10-11 06:43:11,0.5625
2023-10-11 06:48:22,0.5625
2023-10-11 06:53:35,0.5625
2023-10-11 06:58:47,0.5625
2023-10-11 07:03:54,0.5625
2023-10-11 07:09:08,0.5625
2023-10-11 07:14:22,0.5625
2023-10-11 07:19:33,0.5625
2023-10-11 07:24:44,0.5625
2023-10-11 07:29:57,0.5625
2023-10-11 07:35:11,0.5625
2023-10-11 07:40:18,0.75
2023-10-11 07:45:29,0.75
2023-10-11 07:50:36,0.75
2023-10-11 07:55:48,0.75
2023-10-11 08:00:56,0.75
2023-10-11 08:06:06,0.75
2023-10-11 08:11:17,0.9375
2023-10-11 08:16:29,0.9375
2023-10-11 08:21:40,0.9375
2023-10-11 08:26:53,0.9375
2023-10-11 08:32:05,0.9375
2023-10-11 08:37:12,0.9375
2023-10-11 08:42:25,1.125
2023-10-11 08:47:36,1.125
2023-10-11 08:52:45,1.125
2023-10-11 08:57:57,1.125
2023-10-11 09:03:08,1.125
2023-10-11 09:08:15,1.125
2023-10-11 09:13:26,1.125
2023-10-11 09:18:41,1.125
2023-10-11 09:23:52,1.125
2023-10-11 09:28:59,1.3125
2023-10-11 09:34:06,1.3125
2023-10-11 09:39:13,1.3125
2023-10-11 09:44:22,1.5
2023-10-11 09:49:32,2.4375
2023-10-11 09:54:45,3.0
2023-10-11 09:59:57,3.5625
2023-10-11 10:05:04,3.1875
2023-10-11 10:10:18,3.0
2023-10-11 10:15:26,4.875
2023-10-11 10:20:39,6.1875
2023-10-11 10:25:46,8.8125
2023-10-11 10:30:54,9.1875
2023-10-11 10:36:05,9.5625
2023-10-11 10:41:12,9.75
2023-10-11 10:46:24,9.9375
2023-10-11 10:51:32,10.3125
2023-10-11 10:56:45,10.5
2023-10-11 11:01:56,10.5
2023-10-11 11:07:02,10.6875
2023-10-11 11:12:11,10.875
2023-10-11 11:17:19,9.1875
2023-10-11 11:22:32,1.5
2023-10-11 11:27:40,3.375
2023-10-11 11:32:53,1.3125
2023-10-11 11:38:00,1.5
2023-10-11 11:43:08,1.5
2023-10-11 11:48:07,1.5
2023-10-11 11:53:16,2.8125
2023-10-11 11:58:24,1.6875
2023-10-11 12:03:38,1.5
2023-10-11 12:08:45,1.6875
2023-10-11 12:13:58,1.5
2023-10-11 12:19:07,1.3125
2023-10-11 12:24:18,1.3125
2023-10-11 12:29:25,1.3125
2023-10-11 12:34:33,1.3125
2023-10-11 12:39:41,1.3125
2023-10-11 12:44:55,1.3125
2023-10-11 12:50:07,1.3125
2023-10-11 12:55:20,1.3125
2023-10-11 13:00:32,1.3125
2023-10-11 13:05:43,1.3125
2023-10-11 13:10:57,1.3125
2023-10-11 13:16:05,1.3125
2023-10-11 13:21:16,1.5
2023-10-11 13:26:24,2.625
2023-10-11 13:31:36,1.6875
2023-10-11 13:36:44,1.3125
2023-10-11 13:41:57,1.3125
2023-10-11 13:46:57,1.3125
2023-10-11 13:52:09,1.875
2023-10-11 13:57:23,1.875
2023-10-11 14:02:36,2.25
2023-10-11 14:07:48,1.3125
2023-10-11 14:12:57,1.6875
2023-10-11 14:18:08,3.1875
2023-10-11 14:23:19,2.25
2023-10-11 14:28:31,5.8125
2023-10-11 14:33:38,6.375
2023-10-11 14:38:51,9.0
2023-10-11 14:43:58,5.25
2023-10-11 14:49:12,3.1875
2023-10-11 14:54:19,2.4375
2023-10-11 14:59:18,1.5
2023-10-11 15:04:36,1.6875
2023-10-11 15:09:48,1.3125
2023-10-11 15:15:03,1.3125
2023-10-11 15:20:10,1.6875
2023-10-11 15:25:17,1.3125
2023-10-11 15:30:25,1.3125
2023-10-11 15:35:37,1.3125
2023-10-11 15:40:49,1.3125
2023-10-11 15:45:59,1.3125
2023-10-11 15:51:19,1.125
2023-10-11 15:56:26,1.6875
2023-10-11 16:01:33,5.0625
2023-10-11 16:06:46,1.5
2023-10-11 16:11:58,5.625
2023-10-11 16:17:05,6.5625
2023-10-11 16:22:18,6.375
2023-10-11 16:27:17,6.0
2023-10-11 16:32:30,5.625
2023-10-11 16:37:38,5.4375
2023-10-11 16:42:45,2.4375
2023-10-11 16:47:53,1.125
2023-10-11 16:52:59,1.125
2023-10-11 16:58:07,1.125
2023-10-11 17:03:16,0.9375
2023-10-11 17:08:23,1.125
2023-10-11 17:13:35,0.9375
2023-10-11 17:18:43,0.9375
2023-10-11 17:23:54,0.9375
2023-10-11 17:29:07,0.9375
2023-10-11 17:34:19,1.125
2023-10-11 17:39:30,1.125
2023-10-11 17:44:43,0.9375
2023-10-11 17:49:56,0.9375
2023-10-11 17:55:08,0.75
2023-10-11 18:00:21,0.75
2023-10-11 18:05:28,0.75
2023-10-11 18:10:40,0.75
2023-10-11 18:15:52,0.75
2023-10-11 18:21:06,0.5625
2023-10-11 18:26:13,0.5625
2023-10-11 18:31:22,0.5625
2023-10-11 18:36:29,0.5625
2023-10-11 18:41:37,0.5625
2023-10-11 18:46:50,0.5625
2023-10-11 18:52:02,0.5625
2023-10-11 18:57:10,0.5625
2023-10-11 19:02:17,0.5625
2023-10-11 19:07:25,0.5625
2023-10-11 19:12:33,0.5625
2023-10-11 19:17:45,0.375
2023-10-11 19:22:53,0.5625
2023-10-11 19:28:05,0.5625
2023-10-11 19:33:13,0.5625
2023-10-11 19:38:26,0.5625
2023-10-11 19:43:37,0.5625
2023-10-11 19:48:50,0.5625
2023-10-11 19:53:58,0.5625
2023-10-11 19:59:05,0.5625
2023-10-11 20:04:17,0.5625
2023-10-11 20:09:33,0.5625
2023-10-11 20:14:45,0.5625
2023-10-11 20:19:56,0.5625
2023-10-11 20:25:03,0.5625
2023-10-11 20:30:21,0.375
2023-10-11 20:35:29,0.5625
2023-10-11 20:40:42,0.5625
2023-10-11 20:45:53,0.5625
2023-10-11 20:51:07,0.5625
2023-10-11 20:56:15,0.5625
2023-10-11 21:01:28,0.5625
2023-10-11 21:06:28,0.5625
2023-10-11 21:11:35,0.5625
2023-10-11 21:16:48,0.5625
2023-10-11 21:22:00,0.5625
2023-10-11 21:27:13,0.5625
2023-10-11 21:32:13,0.5625
2023-10-11 21:37:21,0.5625
2023-10-11 21:42:33,0.5625
2023-10-11 21:47:47,0.5625
